profile,Nz,Lxy,family,kappa,i,j,channel,mixed,aliasError,referenceError,fullReferenceError
sharp,65,100000,apv,0,34,5,FG,0,0.000218915629193855,2.66985729157812e-15,1.20945152373962e-14
sharp,65,100000,apv,0,34,34,FG,0,0.623894826745855,5.87453245563241e-15,2.94588072221962e-14
sharp,65,100000,apv,0,34,35,FG,0,0.495781094801949,6.47828053424115e-15,2.44330216428662e-14
sharp,65,100000,apv,0,35,4,FG,0,0.000161547440094039,3.16566893518199e-15,1.36047465657613e-14
sharp,65,100000,apv,0,35,35,FG,0,0.647313938466588,7.40627062718984e-15,3.22788101665246e-14
sharp,65,100000,apv,0,35,36,FG,0,0.509260474965757,6.67801104414618e-15,2.56729435434628e-14
sharp,65,100000,apv,0,36,3,FG,0,0.000262394763036153,3.21572988367586e-15,1.18322665637022e-14
sharp,65,100000,apv,0,36,36,FG,0,0.673139940989583,9.26742892113028e-15,3.25211965752197e-14
sharp,65,100000,apv,0,36,37,FG,0,0.516148138211678,7.41420977026884e-15,3.40510806879106e-14
sharp,65,100000,apv,0,37,2,FG,0,0.000242738668698819,2.92430739526681e-15,1.69922908376506e-14
sharp,65,100000,apv,0,37,37,FG,0,0.677441095309246,9.15250172837651e-15,5.03636183013722e-14
sharp,65,100000,apv,0,37,38,FG,0,0.536282291158064,6.28685942478735e-15,9.39098684858104e-14
sharp,65,100000,apv,0,38,1,FG,0,0.00024477188457049,3.63972966767041e-15,1.53003311681627e-14
sharp,65,100000,apv,0,38,38,FG,0,0.701032182391166,7.13206796072862e-15,1.80981942190125e-13
sharp,65,100000,apv,0,1,1,GG,0,9.04746825096396e-09,4.79392932701342e-16,2.11468831875326e-15
sharp,65,100000,apv,0,1,2,GG,0,2.01197245617585e-08,4.32086471688999e-16,1.91306265680866e-15
sharp,65,100000,apv,0,1,38,GG,0,0.00046555533905715,3.82794373524276e-15,1.77452248605319e-14
sharp,65,100000,apv,0,2,2,GG,0,3.30051389684475e-08,4.02317432373869e-16,2.00885116714447e-15
sharp,65,100000,apv,0,2,3,GG,0,7.58658450737588e-08,5.52066396657408e-16,1.96685248696313e-15
sharp,65,100000,apv,0,2,37,GG,0,0.000659796457196665,4.0005404687742e-15,1.67848206337704e-14
sharp,65,100000,apv,0,3,3,GG,0,9.68293377887546e-08,4.0056570569924e-16,1.73203734938582e-15
sharp,65,100000,apv,0,3,4,GG,0,1.2141792854568e-07,3.63891012692766e-16,1.68966215758844e-15
sharp,65,100000,apv,0,3,36,GG,0,0.000456261321222309,4.03136464350772e-15,1.5284911988097e-14
sharp,65,100000,apv,0,4,4,GG,0,1.85928476425505e-07,5.85753942662621e-16,2.83607759869218e-15
sharp,65,100000,apv,0,4,5,GG,0,2.80971839163745e-07,6.09862459760142e-16,2.31625093970867e-15
sharp,65,100000,apv,0,4,35,GG,0,0.000568793809184733,3.32247043880533e-15,1.4851440251394e-14
sharp,65,100000,apv,0,5,5,GG,0,3.24694925803403e-07,6.76492222732974e-16,2.95379085717709e-15
sharp,65,100000,apv,0,5,6,GG,0,5.73342813082239e-07,4.66924953831451e-16,2.55481694094954e-15
sharp,65,100000,apv,0,5,34,GG,0,0.000566371346938393,4.20033686263741e-15,1.49367105635238e-14
sharp,65,100000,apv,0,6,6,GG,0,6.21472826330356e-07,7.8706931971241e-16,4.27516187357592e-15
sharp,65,100000,apv,0,6,7,GG,0,1.03402507929588e-06,6.08594125945051e-16,3.36681282467516e-15
sharp,65,100000,apv,0,6,33,GG,0,0.000589714938893072,4.04630529452585e-15,1.49490198900399e-14
sharp,65,100000,apv,0,7,7,GG,0,1.0107245284086e-06,1.19917746957485e-15,4.95906246762236e-15
sharp,65,100000,apv,0,7,8,GG,0,1.68174924329879e-06,7.17855617531435e-16,3.58802241902411e-15
sharp,65,100000,apv,0,7,32,GG,0,0.000607128484692446,3.50232930551842e-15,1.4363152062589e-14
sharp,65,100000,apv,0,8,8,GG,0,2.02557959002936e-06,1.13711112443031e-15,4.82180282969528e-15
