triple,inputA,inputB,output,channel,error,modeA,modeB,referenceStability,eigenConvergence,gramError,productCount
17,wave,boundary,wave,G*dG->G,0.00402308546102596,8,2,9.12436298201291e-15,1.59122271709527e-11,0.000781377983950812,16
17,wave,boundary,apv,G*dF->F,0.00647188874488682,2,1,5.00409736597945e-15,1.66950581942882e-11,2.12126980544059e-07,16
17,wave,boundary,apv,F*F->F,0.000940044249150514,1,1,2.44249065417534e-15,1.66950581942882e-11,2.12126980544059e-07,16
17,wave,boundary,apv,G*G->F,0.00647188874488698,2,1,5.27638580479564e-15,1.66950581942882e-11,2.12126980544059e-07,16
17,boundary,wave,wave,F*G->G,0.0040230854610262,2,8,9.47064909380561e-15,1.59122271709527e-11,0.000781377983950812,16
17,boundary,wave,wave,G*dG->G,0.000823306208782351,2,1,2.35067423982678e-16,1.59122271709527e-11,0.000781377983950812,16
17,boundary,wave,apv,G*dF->F,0.00647188874488681,1,2,4.73717765164403e-15,1.66950581942882e-11,2.12126980544059e-07,16
17,boundary,wave,apv,F*F->F,0.000940044249150514,1,1,2.44249065417534e-15,1.66950581942882e-11,2.12126980544059e-07,16
17,boundary,wave,apv,G*G->F,0.00647188874488698,1,2,5.27638580479564e-15,1.66950581942882e-11,2.12126980544059e-07,16
17,apv,boundary,wave,F*G->G,0.000790334065598655,-1,2,2.93235167403456e-16,1.66950581942882e-11,0.000781377983950812,8
17,apv,boundary,wave,G*dG->G,0.00479678572784314,3,2,1.54768638400367e-15,1.66950581942882e-11,0.000781377983950812,8
17,apv,boundary,apv,G*dF->F,0.00563338975007335,3,2,2.22044604925031e-15,1.66950581942882e-11,2.12126980544059e-07,8
17,apv,boundary,apv,F*F->F,0.000959249928611195,-1,1,2.44249065417534e-15,1.66950581942882e-11,2.12126980544059e-07,8
17,apv,boundary,apv,G*G->F,0.00563338975007337,3,2,2.44249065417534e-15,1.66950581942882e-11,2.12126980544059e-07,8
18,wave,wave,wave,F*G->G,0.389208111866562,8,8,1.77267283569682e-15,1.34767072184033e-11,0.000781377838735263,64
18,wave,wave,wave,G*dG->G,0.389207992502439,8,8,2.04012858964389e-15,1.34767072184033e-11,0.000781377838735263,64
18,wave,wave,apv,G*dF->F,0.00858234249575695,7,8,1.16357941928327e-15,1.66950581942882e-11,2.12126980544059e-07,64
18,wave,wave,apv,F*F->F,0.00858191625053689,7,8,1.67707634366945e-15,1.66950581942882e-11,2.12126980544059e-07,64
18,wave,wave,apv,G*G->F,0.00858234249575696,7,8,1.63863403946227e-15,1.66950581942882e-11,2.12126980544059e-07,64
18,wave,apv,wave,F*G->G,0.00398389203017136,8,3,7.96248136454713e-16,1.66950581942882e-11,0.000781377838735263,32
18,wave,apv,wave,G*dG->G,0.00915452018566486,8,3,1.75919840235942e-15,1.66950581942882e-11,0.000781377838735263,32
18,wave,apv,apv,G*dF->F,0.000284278335381233,8,3,1.42552405333119e-15,1.66950581942882e-11,2.12126980544059e-07,32
18,wave,apv,apv,F*F->F,0.000283975275178218,8,3,1.56202631486951e-15,1.66950581942882e-11,2.12126980544059e-07,32
18,wave,apv,apv,G*G->F,0.000284278335381534,8,3,1.22660347776475e-15,1.66950581942882e-11,2.12126980544059e-07,32
18,apv,wave,wave,F*G->G,0.00915452184864718,3,8,1.57307752755098e-15,1.66950581942882e-11,0.000781377838735263,32
18,apv,wave,wave,G*dG->G,0.00398389216585674,3,8,6.25193419685685e-16,1.66950581942882e-11,0.000781377838735263,32
18,apv,wave,apv,G*dF->F,0.000284278309846197,3,8,1.78821091331879e-15,1.66950581942882e-11,2.12126980544059e-07,32
18,apv,wave,apv,F*F->F,0.000283975264209622,3,8,1.76080546052675e-15,1.66950581942882e-11,2.12126980544059e-07,32
18,apv,wave,apv,G*G->F,0.00028427830984631,3,8,2.0477513517588e-15,1.66950581942882e-11,2.12126980544059e-07,32
18,wave,boundary,wave,F*G->G,0.00271196753975927,8,2,3.2785803987854e-16,4.31900125512261e-10,0.000781377838735263,16
18,wave,boundary,wave,G*dG->G,0.0019103753627133,1,2,2.4184302924595e-14,4.31900125512261e-10,0.000781377838735263,16
