time,energy,volume,densityMoment,densitySquaredMoment,minimumLabel,maximumLabel,profile,caseName,variant,config,deltaT
447,8.29592915604224e-07,1000,5224.2606155885,36390.5260070335,-999.999800000036,-0.000199999965929777,constant,linear,density,1,20
487,8.29592915598505e-07,1000,5224.26061558858,36390.5260070342,-999.999800000033,-0.000199999969015788,constant,linear,density,1,20
327,8.29592915550154e-07,1000,5224.26061558921,36390.5260070398,-999.9998,-0.000199999999999988,constant,linear,density,1,10
367,8.29592915579328e-07,1000,5224.26061558883,36390.5260070364,-999.999800000019,-0.000199999981868406,constant,linear,density,1,10
407,8.29592915597705e-07,1000,5224.26061558858,36390.5260070343,-999.999800000032,-0.000199999970293489,constant,linear,density,1,10
447,8.29592915604222e-07,1000,5224.2606155885,36390.5260070335,-999.999800000036,-0.000199999965929779,constant,linear,density,1,10
487,8.29592915598504e-07,1000,5224.26061558858,36390.5260070342,-999.999800000033,-0.00019999996901579,constant,linear,density,1,10
327,8.29592915550154e-07,1000,5224.26061558921,36390.5260070398,-999.9998,-0.000199999999999988,constant,linear,density,1,5
367,8.29592915579329e-07,1000,5224.26061558883,36390.5260070364,-999.999800000019,-0.000199999981868406,constant,linear,density,1,5
407,8.29592915597705e-07,1000,5224.26061558858,36390.5260070343,-999.999800000032,-0.000199999970293488,constant,linear,density,1,5
447,8.29592915604222e-07,1000,5224.2606155885,36390.5260070335,-999.999800000036,-0.000199999965929779,constant,linear,density,1,5
487,8.29592915598505e-07,1000,5224.26061558858,36390.5260070342,-999.999800000033,-0.00019999996901579,constant,linear,density,1,5
327,8.29592915550201e-07,1000,5224.26061558924,36390.5260070398,-999.9998,-0.000199999999999994,constant,linear,displacement,2,20
367,8.29592915579377e-07,1000,5224.26061558884,36390.5260070364,-999.999800000019,-0.000199999981823042,constant,linear,displacement,2,20
407,8.29592915597753e-07,1000,5224.2606155886,36390.5260070342,-999.999800000032,-0.00019999997017725,constant,linear,displacement,2,20
447,8.2959291560427e-07,1000,5224.26061558851,36390.5260070336,-999.999800000036,-0.000199999965712173,constant,linear,displacement,2,20
487,8.29592915598553e-07,1000,5224.26061558859,36390.5260070342,-999.999800000033,-0.000199999968671247,constant,linear,displacement,2,20
327,8.29592915550201e-07,1000,5224.26061558924,36390.5260070398,-999.9998,-0.000199999999999994,constant,linear,displacement,2,10
367,8.29592915579377e-07,1000,5224.26061558884,36390.5260070364,-999.999800000019,-0.000199999981823044,constant,linear,displacement,2,10
407,8.29592915597753e-07,1000,5224.2606155886,36390.5260070342,-999.999800000032,-0.000199999970177252,constant,linear,displacement,2,10
447,8.29592915604269e-07,1000,5224.26061558851,36390.5260070336,-999.999800000036,-0.000199999965712176,constant,linear,displacement,2,10
487,8.29592915598553e-07,1000,5224.26061558859,36390.5260070342,-999.999800000033,-0.000199999968671249,constant,linear,displacement,2,10
327,8.29592915550201e-07,1000,5224.26061558924,36390.5260070398,-999.9998,-0.000199999999999994,constant,linear,displacement,2,5
367,8.29592915579377e-07,1000,5224.26061558884,36390.5260070364,-999.999800000019,-0.000199999981823044,constant,linear,displacement,2,5
