profile,amplitude,time,config,form,family,rmsError,referenceRMS
constant,0.0001,901,3,advective,Aio,5.51310334808902e-27,3.46615323537481e-13
constant,0.0001,901,3,advective,Amda,6.85223300230023e-25,7.30245827231335e-14
constant,0.0001,901,3,split,Ag_q,1.88323424662562e-30,1.02624901859274e-19
constant,0.0001,901,3,split,Ag_0,2.78135232063518e-26,1.92591245498797e-17
constant,0.0001,901,3,split,Aw_p,4.93437093479831e-15,3.32988148658033e-14
constant,0.0001,901,3,split,Aw_m,4.93437093479831e-15,1.68707812954523e-14
constant,0.0001,901,3,split,Aio,5.46764582962073e-27,3.46615323537481e-13
constant,0.0001,901,3,split,Amda,6.84492105436558e-25,7.30245827231335e-14
constant,0.0001,901,3,compatible,Ag_q,1.88316986254623e-30,1.02624901859274e-19
constant,0.0001,901,3,compatible,Ag_0,2.78135193279416e-26,1.92591245498797e-17
constant,0.0001,901,3,compatible,Aw_p,4.93437093479831e-15,3.32988148658033e-14
constant,0.0001,901,3,compatible,Aw_m,4.93437093479831e-15,1.68707812954523e-14
constant,0.0001,901,3,compatible,Aio,5.51540390202772e-27,3.46615323537481e-13
constant,0.0001,901,3,compatible,Amda,6.84499160295342e-25,7.30245827231335e-14
constant,0.0001,901,4,divergence,Ag_q,1.87036861904889e-30,1.02624901859274e-19
constant,0.0001,901,4,divergence,Ag_0,2.77607427183356e-26,1.92591245498797e-17
constant,0.0001,901,4,divergence,Aw_p,1.17457563340021e-15,3.32988148658033e-14
constant,0.0001,901,4,divergence,Aw_m,1.17457563340021e-15,1.68707812954523e-14
constant,0.0001,901,4,divergence,Aio,6.11435716783668e-27,3.46615323537481e-13
constant,0.0001,901,4,divergence,Amda,6.85195953001427e-25,7.30245827231335e-14
constant,0.0001,901,4,advective,Ag_q,1.88415087137428e-30,1.02624901859274e-19
constant,0.0001,901,4,advective,Ag_0,2.79630359422371e-26,1.92591245498797e-17
constant,0.0001,901,4,advective,Aw_p,1.17457563340021e-15,3.32988148658033e-14
constant,0.0001,901,4,advective,Aw_m,1.17457563340021e-15,1.68707812954523e-14
constant,0.0001,901,4,advective,Aio,6.21450865277555e-27,3.46615323537481e-13
constant,0.0001,901,4,advective,Amda,6.85282729561941e-25,7.30245827231335e-14
constant,0.0001,901,4,split,Ag_q,1.87725884532924e-30,1.02624901859274e-19
constant,0.0001,901,4,split,Ag_0,2.78618009554755e-26,1.92591245498797e-17
constant,0.0001,901,4,split,Aw_p,1.17457563340021e-15,3.32988148658033e-14
constant,0.0001,901,4,split,Aw_m,1.17457563340021e-15,1.68707812954523e-14
constant,0.0001,901,4,split,Aio,6.1369217953376e-27,3.46615323537481e-13
constant,0.0001,901,4,split,Amda,6.85241698092606e-25,7.30245827231335e-14
constant,0.0001,901,4,compatible,Ag_q,1.87723452244609e-30,1.02624901859274e-19
constant,0.0001,901,4,compatible,Ag_0,2.78617950494471e-26,1.92591245498797e-17
constant,0.0001,901,4,compatible,Aw_p,1.17457563340021e-15,3.32988148658033e-14
constant,0.0001,901,4,compatible,Aw_m,1.17457563340021e-15,1.68707812954523e-14
constant,0.0001,901,4,compatible,Aio,6.08135558881125e-27,3.46615323537481e-13
constant,0.0001,901,4,compatible,Amda,6.85229177205149e-25,7.30245827231335e-14
constant,0.0001,901,5,divergence,Ag_q,9.03582578629412e-31,4.95725372127821e-20
constant,0.0001,901,5,divergence,Ag_0,1.39869648299478e-26,9.30304098846974e-18
constant,0.0001,901,5,divergence,Aw_p,1.14471323949631e-16,1.60848570866363e-14
constant,0.0001,901,5,divergence,Aw_m,1.1447132394963e-16,8.14936430095231e-15
constant,0.0001,901,5,divergence,Aio,5.26062365092702e-27,3.46615323537481e-13
constant,0.0001,901,5,divergence,Amda,6.75979732358482e-25,7.30245827231335e-14
constant,0.0001,901,5,advective,Ag_q,9.1015559801019e-31,4.95725372127821e-20
constant,0.0001,901,5,advective,Ag_0,1.41053087578577e-26,9.30304098846974e-18
constant,0.0001,901,5,advective,Aw_p,1.14471323949631e-16,1.60848570866363e-14
constant,0.0001,901,5,advective,Aw_m,1.14471323949629e-16,8.14936430095231e-15
constant,0.0001,901,5,advective,Aio,5.24562120917309e-27,3.46615323537481e-13
constant,0.0001,901,5,advective,Amda,6.85367908304841e-25,7.30245827231335e-14
constant,0.0001,901,5,split,Ag_q,9.06778396101286e-31,4.95725372127821e-20
constant,0.0001,901,5,split,Ag_0,1.40416971076301e-26,9.30304098846974e-18
constant,0.0001,901,5,split,Aw_p,1.14471323949631e-16,1.60848570866363e-14
constant,0.0001,901,5,split,Aw_m,1.14471323949629e-16,8.14936430095231e-15
constant,0.0001,901,5,split,Aio,5.22604078867155e-27,3.46615323537481e-13
constant,0.0001,901,5,split,Amda,6.80619326473028e-25,7.30245827231335e-14
constant,0.0001,901,5,compatible,Ag_q,9.06778512099204e-31,4.95725372127821e-20
constant,0.0001,901,5,compatible,Ag_0,1.40416975753283e-26,9.30304098846974e-18
constant,0.0001,901,5,compatible,Aw_p,1.14471323949631e-16,1.60848570866363e-14
constant,0.0001,901,5,compatible,Aw_m,1.1447132394963e-16,8.14936430095231e-15
constant,0.0001,901,5,compatible,Aio,5.40805473302893e-27,3.46615323537481e-13
constant,0.0001,901,5,compatible,Amda,6.80672706423535e-25,7.30245827231335e-14
constant,0.0001,901,6,divergence,Ag_q,9.03457858114004e-31,4.95725372127821e-20
constant,0.0001,901,6,divergence,Ag_0,1.40113925664294e-26,9.30304098846974e-18
constant,0.0001,901,6,divergence,Aw_p,1.14196651229366e-16,1.60848570866363e-14
constant,0.0001,901,6,divergence,Aw_m,1.14196651229365e-16,8.14936430095231e-15
constant,0.0001,901,6,divergence,Aio,5.2681036767063e-27,3.46615323537481e-13
constant,0.0001,901,6,divergence,Amda,6.7685797398584e-25,7.30245827231335e-14
constant,0.0001,901,6,advective,Ag_q,9.10152602721165e-31,4.95725372127821e-20
constant,0.0001,901,6,advective,Ag_0,1.41053293681627e-26,9.30304098846974e-18
constant,0.0001,901,6,advective,Aw_p,1.14196651229366e-16,1.60848570866363e-14
constant,0.0001,901,6,advective,Aw_m,1.14196651229365e-16,8.14936430095231e-15
constant,0.0001,901,6,advective,Aio,5.25753010390771e-27,3.46615323537481e-13
constant,0.0001,901,6,advective,Amda,6.85405473137442e-25,7.30245827231335e-14
constant,0.0001,901,6,split,Ag_q,9.0671938691442e-31,4.95725372127821e-20
constant,0.0001,901,6,split,Ag_0,1.4054274103931e-26,9.30304098846974e-18
constant,0.0001,901,6,split,Aw_p,1.14196651229366e-16,1.60848570866363e-14
constant,0.0001,901,6,split,Aw_m,1.14196651229365e-16,8.14936430095231e-15
constant,0.0001,901,6,split,Aio,5.26005396126434e-27,3.46615323537481e-13
