family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,direction,count,status,referenceNz,withoutBuoyancyError,minimumGamma,maximumSSHOverDepth
Amda,2.19976861309975e-19,1.42889198720072e-09,1.53949258082776e-10,4.85659053273439e-19,4.93833982603409e-07,3.39884832260862e-05,constant,0.01,327,vertical,25,rejected,1025,1.53949258082776e-10,0.999971780255779,2.8219744220725e-05
Ag_q,6.82124053984162e-24,1.85407120953713e-14,3.6790607096178e-10,2.7030127355178e-23,1.73235078280684e-06,0.000138327238143899,constant,0.01,327,vertical,33,rejected,1025,3.6790607096178e-10,0.999971780255779,2.8219744220725e-05
Ag_0,8.15622247104122e-20,2.59122821607734e-12,3.14762799371963e-08,3.80379371497923e-19,0.000178202518336662,0.0146738380956877,constant,0.01,327,vertical,33,rejected,1025,3.14762799371963e-08,0.999971780255779,2.8219744220725e-05
Aw_p,1.11752678518509e-11,7.03471790234882e-09,0.00158858791595888,1.86968790156941e-14,1.59124549058088,0.265780044309253,constant,0.01,327,vertical,33,rejected,1025,1.79327392670196e-14,0.999971780255779,2.8219744220725e-05
Aw_m,1.11752678518514e-11,3.58373666432905e-09,0.00311832840930672,1.86968790153267e-14,3.12354468416774,0.521714499401761,constant,0.01,327,vertical,33,rejected,1025,6.02217893121585e-14,0.999971780255779,2.8219744220725e-05
Aio,1.98889946809393e-23,6.07380887208267e-09,3.27455063203519e-15,6.22833758143288e-23,1.35289665343264e-11,1.02544164414176e-09,constant,0.01,327,vertical,33,rejected,1025,3.27455063203519e-15,0.999971780255779,2.8219744220725e-05
Amda,2.19964899803174e-19,1.42889198720072e-09,1.53940886906433e-10,4.85659053273439e-19,4.93825611432924e-07,3.39884832260862e-05,constant,0.01,327,vertical,33,rejected,1025,1.53940886906433e-10,0.999971780255779,2.8219744220725e-05
Ag_q,6.82250540347374e-24,1.85407120953713e-14,3.6797429183839e-10,2.7030127355178e-23,1.73241551246592e-06,0.000138327238143899,constant,0.01,327,vertical,49,rejected,1025,3.6797429183839e-10,0.999971780255779,2.8219744220725e-05
Ag_0,8.15780213649923e-20,2.59122821607734e-12,3.14823761407195e-08,3.80379371497923e-19,0.000178208612188462,0.0146738380956877,constant,0.01,327,vertical,49,rejected,1025,3.14823761407195e-08,0.999971780255779,2.8219744220725e-05
Aw_p,4.81731982585988e-12,7.03471790234882e-09,0.000684792182533919,1.86968790156941e-14,0.687449885632371,0.265780044309253,constant,0.01,327,vertical,49,rejected,1025,1.79660347991217e-14,0.999971780255779,2.8219744220725e-05
Aw_m,4.81731982586031e-12,3.58373666432905e-09,0.00134421702180571,1.86968790153267e-14,1.34943379171172,0.521714499401761,constant,0.01,327,vertical,49,rejected,1025,5.33184007540637e-14,0.999971780255779,2.8219744220725e-05
Aio,2.06265335733282e-23,6.07380887208267e-09,3.39598001974262e-15,6.22833758143288e-23,1.36503959020416e-11,1.02544164414176e-09,constant,0.01,327,vertical,49,rejected,1025,3.39598001974262e-15,0.999971780255779,2.8219744220725e-05
Amda,2.20219374046711e-19,1.42889198720072e-09,1.54118978914658e-10,4.85659053273439e-19,4.94003703316513e-07,3.39884832260862e-05,constant,0.01,327,vertical,49,rejected,1025,1.54118978914658e-10,0.999971780255779,2.8219744220725e-05
Ag_q,6.8195274614308e-24,1.85407120953713e-14,3.67813675459277e-10,2.7030127355178e-23,1.73226311566337e-06,0.000138327238143899,constant,0.01,327,vertical,65,assessed,1025,3.67813675459277e-10,0.999971780255779,2.8219744220725e-05
Ag_0,8.15442046220662e-20,2.59122821607734e-12,3.14693256719432e-08,3.80379371497923e-19,0.000178195566754146,0.0146738380956877,constant,0.01,327,vertical,65,assessed,1025,3.14693256719432e-08,0.999971780255779,2.8219744220725e-05
Aw_p,2.59502362952048e-12,7.03471790234882e-09,0.000368888086991239,1.86968790156941e-14,0.371545834996119,0.265780044309253,constant,0.01,327,vertical,65,assessed,1025,1.52618264532761e-14,0.999971780255779,2.8219744220725e-05
Aw_m,2.59502362952096e-12,3.58373666432905e-09,0.000724111136666569,1.86968790153267e-14,0.72932807960586,0.521714499401761,constant,0.01,327,vertical,65,assessed,1025,5.11060618964755e-14,0.999971780255779,2.8219744220725e-05
Aio,1.97801420068535e-23,6.07380887208267e-09,3.25662898247751e-15,6.22833758143288e-23,1.35110448877194e-11,1.02544164414176e-09,constant,0.01,327,vertical,65,assessed,1025,3.25662898247751e-15,0.999971780255779,2.8219744220725e-05
Amda,2.20156817248446e-19,1.42889198720072e-09,1.54075198979697e-10,4.85659053273439e-19,4.93959923412191e-07,3.39884832260862e-05,constant,0.01,327,vertical,65,assessed,1025,1.54075198979697e-10,0.999971780255779,2.8219744220725e-05
Ag_q,6.8216138111964e-24,1.85407120953713e-14,3.6792620348705e-10,2.7030127355178e-23,1.73236988504595e-06,0.000138327238143899,constant,0.01,327,vertical,97,assessed,1025,3.6792620348705e-10,0.999971780255779,2.8219744220725e-05
Ag_0,8.15599749656274e-20,2.59122821607734e-12,3.14754117215869e-08,3.80379371497923e-19,0.000178201650455983,0.0146738380956877,constant,0.01,327,vertical,97,assessed,1025,3.14754117215869e-08,0.999971780255779,2.8219744220725e-05
Aw_p,1.01293856986487e-12,7.03471790234882e-09,0.000143991356004007,1.86968790156941e-14,0.146649135978427,0.265780044309253,constant,0.01,327,vertical,97,assessed,1025,1.75839894616863e-14,0.999971780255779,2.8219744220725e-05
Aw_m,1.01293856986533e-12,3.58373666432905e-09,0.000282648716895882,1.86968790153267e-14,0.287865783020087,0.521714499401761,constant,0.01,327,vertical,97,assessed,1025,4.89738110215703e-14,0.999971780255779,2.8219744220725e-05
Aio,3.14427860150017e-23,6.07380887208267e-09,5.17678225923829e-15,6.22833758143288e-23,1.54311978483436e-11,1.02544164414176e-09,constant,0.01,327,vertical,97,assessed,1025,5.17678225923829e-15,0.999971780255779,2.8219744220725e-05
Amda,2.20427682745944e-19,1.42889198720072e-09,1.54264762291637e-10,4.85659053273439e-19,4.94149486591467e-07,3.39884832260862e-05,constant,0.01,327,vertical,97,assessed,1025,1.54264762291637e-10,0.999971780255779,2.8219744220725e-05
Ag_q,6.81583096725849e-24,1.85407120953713e-14,3.67614303711672e-10,2.7030127355178e-23,1.73207394680635e-06,0.000138327238143899,constant,0.01,327,vertical,129,assessed,1025,3.67614303711672e-10,0.999971780255779,2.8219744220725e-05
Ag_0,8.14886246365139e-20,2.59122821607734e-12,3.1447876389627e-08,3.80379371497923e-19,0.000178174125746287,0.0146738380956877,constant,0.01,327,vertical,129,assessed,1025,3.1447876389627e-08,0.999971780255779,2.8219744220725e-05
Aw_p,4.69010291239657e-13,7.03471790234882e-09,6.66708029732165e-05,1.86968790156941e-14,0.069328593938915,0.265780044309253,constant,0.01,327,vertical,129,assessed,1025,1.48055804401206e-14,0.999971780255779,2.8219744220725e-05
Aw_m,4.69010291240005e-13,3.58373666432905e-09,0.000130871862296225,1.86968790153267e-14,0.136088970771983,0.521714499401761,constant,0.01,327,vertical,129,assessed,1025,4.46175553360942e-14,0.999971780255779,2.8219744220725e-05
Aio,2.1397970520362e-23,6.07380887208267e-09,3.52299042841379e-15,6.22833758143288e-23,1.37774062898016e-11,1.02544164414176e-09,constant,0.01,327,vertical,129,assessed,1025,3.52299042841379e-15,0.999971780255779,2.8219744220725e-05
Amda,2.20412010395156e-19,1.42889198720072e-09,1.54253794107247e-10,4.85659053273439e-19,4.94138518414753e-07,3.39884832260862e-05,constant,0.01,327,vertical,129,assessed,1025,1.54253794107247e-10,0.999971780255779,2.8219744220725e-05
Ag_q,6.85003071530565e-24,1.85407120953713e-14,3.69458879468592e-10,2.7030127355178e-23,1.7338241260158e-06,0.000138327238143899,constant,0.01,327,vertical,193,assessed,1025,3.69458879468592e-10,0.999971780255779,2.8219744220725e-05
Ag_0,8.18956788639771e-20,2.59122821607734e-12,3.16049656899587e-08,3.80379371497923e-19,0.000178331154446514,0.0146738380956877,constant,0.01,327,vertical,193,assessed,1025,3.16049656899587e-08,0.999971780255779,2.8219744220725e-05
Aw_p,1.49588115722771e-13,7.03471790234882e-09,2.12642664281996e-05,1.86968790156941e-14,0.0239220638485322,0.265780044309253,constant,0.01,327,vertical,193,assessed,1025,1.77628678351679e-14,0.999971780255779,2.8219744220725e-05
Aw_m,1.49588115722802e-13,3.58373666432905e-09,4.17408224247436e-05,1.86968790153267e-14,0.0469579557714738,0.521714499401761,constant,0.01,327,vertical,193,assessed,1025,4.95154013009199e-14,0.999971780255779,2.8219744220725e-05
Aio,2.46287060860942e-23,6.07380887208267e-09,4.05490304433125e-15,6.22833758143288e-23,1.43093188181443e-11,1.02544164414176e-09,constant,0.01,327,vertical,193,assessed,1025,4.05490304433125e-15,0.999971780255779,2.8219744220725e-05
Amda,2.21166254548777e-19,1.42889198720072e-09,1.54781646569419e-10,4.85659053273439e-19,4.94666370507511e-07,3.39884832260862e-05,constant,0.01,327,vertical,193,assessed,1025,1.54781646569419e-10,0.999971780255779,2.8219744220725e-05
Ag_q,6.52222860965598e-24,1.85407120953713e-14,3.51778754564894e-10,2.7030127355178e-23,1.71704878517614e-06,0.000138327238143899,constant,0.01,327,vertical,257,assessed,1025,3.51778754564894e-10,0.999971780255779,2.8219744220725e-05
Ag_0,7.81221948067359e-20,2.59122821607734e-12,3.01487126151316e-08,3.80379371497923e-19,0.000176875463148257,0.0146738380956877,constant,0.01,327,vertical,257,assessed,1025,3.01487126151316e-08,0.999971780255779,2.8219744220725e-05
Aw_p,1.66305789507571e-13,7.03471790234882e-09,2.36407190474607e-05,1.86968790156941e-14,0.0262985161299756,0.265780044309253,constant,0.01,327,vertical,257,assessed,1025,1.52379641714239e-14,0.999971780255779,2.8219744220725e-05
Aw_m,1.66305789507192e-13,3.58373666432905e-09,4.64056946936218e-05,1.86968790153267e-14,0.0516228267386741,0.521714499401761,constant,0.01,327,vertical,257,assessed,1025,5.09096133781227e-14,0.999971780255779,2.8219744220725e-05
