profile,amplitude,time,direction,count,field,absoluteError,referenceNorm
constant,0.1,901,vertical,65,u,1.65867740129707e-18,1.06943754232699e-06
constant,0.1,901,vertical,65,v,1.53390295265217e-18,4.28895825809222e-07
constant,0.1,901,vertical,65,w,6.01506341947998e-06,1.05073339914005e-05
constant,0.1,901,vertical,65,eta,1.99797671212684e-16,1.61142526711617e-05
constant,0.1,901,vertical,97,u,1.89935130064479e-18,1.06943754232699e-06
constant,0.1,901,vertical,97,v,1.6040715718427e-18,4.28895825809222e-07
constant,0.1,901,vertical,97,w,3.34220337970904e-06,1.05073339914005e-05
constant,0.1,901,vertical,97,eta,2.02756251921137e-16,1.61142526711617e-05
constant,0.1,901,vertical,129,u,2.12173287377759e-18,1.06943754232699e-06
constant,0.1,901,vertical,129,v,1.84567248998469e-18,4.28895825809222e-07
constant,0.1,901,vertical,129,w,1.67460376379935e-06,1.05073339914005e-05
constant,0.1,901,vertical,129,eta,1.99999837948295e-16,1.61142526711617e-05
constant,0.1,901,vertical,193,u,1.96562057868371e-18,1.06943754232699e-06
constant,0.1,901,vertical,193,v,1.54095182791182e-18,4.28895825809222e-07
constant,0.1,901,vertical,193,w,8.81427628372068e-07,1.05073339914005e-05
constant,0.1,901,vertical,193,eta,2.20358077174247e-16,1.61142526711617e-05
constant,0.1,901,vertical,257,u,0,1.06943754232699e-06
constant,0.1,901,vertical,257,v,0,4.28895825809222e-07
constant,0.1,901,vertical,257,w,0,1.05073339914005e-05
constant,0.1,901,vertical,257,eta,0,1.61142526711617e-05
constant,1,327,horizontal,8,u,2.78337654403296e-13,0.000100399538512245
constant,1,327,horizontal,8,v,7.74735427111853e-14,4.28615528711019e-05
constant,1,327,horizontal,8,w,7.31658244758323e-06,0.000195072629438319
constant,1,327,horizontal,8,eta,1.57258612569324e-12,0.00207737668423066
constant,1,327,horizontal,12,u,1.57694277300768e-17,0.000100399538512245
constant,1,327,horizontal,12,v,6.29500833580573e-18,4.28615528711019e-05
constant,1,327,horizontal,12,w,2.3089803657499e-06,0.000195072629438319
constant,1,327,horizontal,12,eta,9.07380113772957e-17,0.00207737668423066
constant,1,327,horizontal,16,u,8.24050683571848e-18,0.000100399538512245
constant,1,327,horizontal,16,v,3.193709321074e-18,4.28615528711019e-05
constant,1,327,horizontal,16,w,9.9404438628888e-07,0.000195072629438319
constant,1,327,horizontal,16,eta,5.70916700682986e-17,0.00207737668423066
constant,1,327,horizontal,24,u,1.11421783632085e-17,0.000100399538512245
constant,1,327,horizontal,24,v,4.17269924821552e-18,4.28615528711019e-05
constant,1,327,horizontal,24,w,2.97040200104929e-07,0.000195072629438319
constant,1,327,horizontal,24,eta,6.53447927146249e-17,0.00207737668423066
constant,1,327,horizontal,32,u,7.08770227851005e-18,0.000100399538512245
constant,1,327,horizontal,32,v,2.46556764123057e-18,4.28615528711019e-05
constant,1,327,horizontal,32,w,1.46222856654436e-07,0.000195072629438319
constant,1,327,horizontal,32,eta,4.66859740855282e-17,0.00207737668423066
constant,1,327,horizontal,48,u,1.22116770653305e-17,0.000100399538512245
constant,1,327,horizontal,48,v,3.88626316250104e-18,4.28615528711019e-05
constant,1,327,horizontal,48,w,6.04555223227891e-08,0.000195072629438319
constant,1,327,horizontal,48,eta,6.04275045543547e-17,0.00207737668423066
constant,1,327,horizontal,64,u,0,0.000100399538512245
constant,1,327,horizontal,64,v,0,4.28615528711019e-05
constant,1,327,horizontal,64,w,0,0.000195072629438319
constant,1,327,horizontal,64,eta,0,0.00207737668423066
constant,1,327,vertical,9,u,6.5348883597854e-08,0.000100399538512245
constant,1,327,vertical,9,v,4.89793980226674e-08,4.28615528711019e-05
constant,1,327,vertical,9,w,0.000292600725746806,0.000195072629438319
constant,1,327,vertical,9,eta,2.16401843806838e-06,0.00207737668423066
constant,1,327,vertical,13,u,3.63509289780326e-11,0.000100399538512245
constant,1,327,vertical,13,v,2.81992825493267e-11,4.28615528711019e-05
constant,1,327,vertical,13,w,0.000208992890815193,0.000195072629438319
constant,1,327,vertical,13,eta,8.52461940983155e-10,0.00207737668423066
constant,1,327,vertical,17,u,5.31673469058374e-15,0.000100399538512245
constant,1,327,vertical,17,v,5.72771836449732e-15,4.28615528711019e-05
constant,1,327,vertical,17,w,0.000154349965450683,0.000195072629438319
constant,1,327,vertical,17,eta,1.18401266585285e-13,0.00207737668423066
constant,1,327,vertical,25,u,2.36497478456839e-16,0.000100399538512245
constant,1,327,vertical,25,v,1.46084314168711e-16,4.28615528711019e-05
constant,1,327,vertical,25,w,8.69213646262337e-05,0.000195072629438319
constant,1,327,vertical,25,eta,1.89277349513576e-14,0.00207737668423066
constant,1,327,vertical,33,u,2.35648462256201e-16,0.000100399538512245
constant,1,327,vertical,33,v,1.45634179120782e-16,4.28615528711019e-05
constant,1,327,vertical,33,w,5.64488964940132e-05,0.000195072629438319
constant,1,327,vertical,33,eta,1.8900427484962e-14,0.00207737668423066
constant,1,327,vertical,49,u,2.36705917949267e-16,0.000100399538512245
constant,1,327,vertical,49,v,1.47199281795822e-16,4.28615528711019e-05
constant,1,327,vertical,49,w,2.07931282958016e-05,0.000195072629438319
constant,1,327,vertical,49,eta,1.89610113092198e-14,0.00207737668423066
constant,1,327,vertical,65,u,2.36763485721416e-16,0.000100399538512245
constant,1,327,vertical,65,v,1.48944080863748e-16,4.28615528711019e-05
constant,1,327,vertical,65,w,1.42139293937586e-05,0.000195072629438319
constant,1,327,vertical,65,eta,1.87678735333224e-14,0.00207737668423066
constant,1,327,vertical,97,u,2.51098870732189e-16,0.000100399538512245
constant,1,327,vertical,97,v,1.59752604254808e-16,4.28615528711019e-05
constant,1,327,vertical,97,w,5.99635001835916e-06,0.000195072629438319
constant,1,327,vertical,97,eta,1.90661914538102e-14,0.00207737668423066
constant,1,327,vertical,129,u,2.85055944330417e-16,0.000100399538512245
constant,1,327,vertical,129,v,1.84402176655923e-16,4.28615528711019e-05
constant,1,327,vertical,129,w,3.29847147535233e-06,0.000195072629438319
constant,1,327,vertical,129,eta,1.87478264883088e-14,0.00207737668423066
constant,1,327,vertical,193,u,2.61965332975596e-16,0.000100399538512245
constant,1,327,vertical,193,v,1.61755750921904e-16,4.28615528711019e-05
constant,1,327,vertical,193,w,1.28636120937159e-06,0.000195072629438319
constant,1,327,vertical,193,eta,2.07679185892031e-14,0.00207737668423066
constant,1,327,vertical,257,u,0,0.000100399538512245
constant,1,327,vertical,257,v,0,4.28615528711019e-05
constant,1,327,vertical,257,w,0,0.000195072629438319
constant,1,327,vertical,257,eta,0,0.00207737668423066
constant,1,901,horizontal,8,u,1.93681111089388e-13,0.000106960771201189
constant,1,901,horizontal,8,v,5.20301392714456e-14,4.28914953634254e-05
