family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,count,order,status
Ag_q,4.47641826259659e-25,1.85407120919833e-14,2.41437235009551e-11,3.50890466890758e-26,2.47038526884995e-08,1.79568925246442e-07,constant,0.01,327,17,0,rejected
Ag_0,8.68184928966525e-21,2.59122819141429e-12,3.35047654947236e-09,4.1519570922478e-22,3.50935347012285e-06,1.60169428987752e-05,constant,0.01,327,17,0,rejected
Aw_p,4.56340299133715e-11,7.03471799653587e-09,0.00648697359806652,9.26381328634351e-19,6.48697280761671,1.31687040959352e-05,constant,0.01,327,17,0,rejected
Aw_m,4.5634029903192e-11,3.58373680006884e-09,0.012733644363145,9.26381328187398e-19,12.7336410684667,2.58495844246642e-05,constant,0.01,327,17,0,rejected
Aio,1.82837341479014e-18,6.07380887208266e-09,3.01025839517932e-10,1.01117488620911e-23,3.010274547682e-07,1.66481155568735e-10,constant,0.01,327,17,0,rejected
Amda,1.06052699624324e-19,1.42889198698381e-09,7.42202353924497e-11,9.07594360919165e-22,7.48553565309469e-08,6.35173080970162e-08,constant,0.01,327,17,0,rejected
Ag_q,4.47641826259659e-25,1.85407120919833e-14,2.41437235009551e-11,3.50890466890758e-26,2.47038526884995e-08,1.79568925246442e-07,constant,0.01,327,17,8,assessed
Ag_0,8.68184928966525e-21,2.59122819141429e-12,3.35047654947236e-09,4.1519570922478e-22,3.50935347012285e-06,1.60169428987752e-05,constant,0.01,327,17,8,assessed
Aw_p,3.9459959724479e-18,7.03471799653587e-09,5.60931649909924e-10,9.26381328634351e-19,6.92618611131671e-07,1.31687040959352e-05,constant,0.01,327,17,8,assessed
Aw_m,5.44597920159155e-18,3.58373680006884e-09,1.51963704518896e-09,9.26381328187398e-19,1.77813246539871e-06,2.58495844246642e-05,constant,0.01,327,17,8,assessed
Aio,1.82837341479014e-18,6.07380887208266e-09,3.01025839517932e-10,1.01117488620911e-23,3.010274547682e-07,1.66481155568735e-10,constant,0.01,327,17,8,assessed
Amda,1.06052699624324e-19,1.42889198698381e-09,7.42202353924497e-11,9.07594360919165e-22,7.48553565309469e-08,6.35173080970162e-08,constant,0.01,327,17,8,assessed
Ag_q,4.47641826259659e-25,1.85407120919833e-14,2.41437235009551e-11,3.50890466890758e-26,2.47038526884995e-08,1.79568925246442e-07,constant,0.01,327,17,16,assessed
Ag_0,8.68184928966525e-21,2.59122819141429e-12,3.35047654947236e-09,4.1519570922478e-22,3.50935347012285e-06,1.60169428987752e-05,constant,0.01,327,17,16,assessed
Aw_p,3.94599597249481e-18,7.03471799653587e-09,5.60931649916593e-10,9.26381328634351e-19,6.92618611138339e-07,1.31687040959352e-05,constant,0.01,327,17,16,assessed
Aw_m,5.44597920159155e-18,3.58373680006884e-09,1.51963704518896e-09,9.26381328187398e-19,1.77813246539871e-06,2.58495844246642e-05,constant,0.01,327,17,16,assessed
Aio,1.82837341479014e-18,6.07380887208266e-09,3.01025839517932e-10,1.01117488620911e-23,3.010274547682e-07,1.66481155568735e-10,constant,0.01,327,17,16,assessed
Amda,1.06052699624324e-19,1.42889198698381e-09,7.42202353924497e-11,9.07594360919165e-22,7.48553565309469e-08,6.35173080970162e-08,constant,0.01,327,17,16,assessed
